year,annual-precipitations
1987,764
1988,759
1989,599
1990,495
1991,517
1992,593
1993,617
1994,694
1995,747
1996,555
1997,606
1998,663
1999,838
2000,945
2001,882
2002,674
2003,505
2004,555
2005,500
2006,742
2007,754
2008,584
2009,592
2010,673
2011,587
2012,829
2013,798
2014,807
2015,549
2016,682
