year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,130,204,254,176
1988,277,125,178,179
1989,149,183,121,146
1990,142,118,77,158
1991,147,119,109,142
1992,77,189,130,197
1993,93,232,126,166
1994,140,175,208,171
1995,295,145,205,101
1996,113,97,159,187
1997,81,210,102,213
1998,106,210,152,195
1999,143,213,233,250
2000,130,179,310,326
2001,265,175,272,171
2002,177,127,107,264
2003,81,175,130,119
2004,125,119,173,139
2005,88,180,125,107
2006,186,176,178,203
2007,216,170,182,186
2008,166,145,107,166
2009,125,173,97,197
2010,136,94,264,180
2011,136,105,185,161
2012,79,277,179,294
2013,169,205,214,211
2014,145,227,251,184
2015,145,99,164,140
2016,218,298,57,110
