year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1517,12,-400,2
1988,1330,10,-382,3
1989,1458,10,-323,2
1990,1284,12,-236,8
1991,1524,13,-432,3
1992,1442,11,-244,4
1993,1385,10,-440,4
1994,1444,11,-452,0
1995,1442,10,-232,1
1996,1480,10,-411,1
1997,1576,12,-465,5
1998,1577,11,-230,0
1999,1512,11,-365,0
2000,1606,12,-287,0
2001,1382,10,-295,1
2002,1452,12,-271,0
2003,1391,11,-259,0
2004,1458,12,-333,2
2005,1495,11,-336,2
2006,1373,10,-274,1
2007,1579,15,-214,0
2008,1633,13,-381,4
2009,1476,11,-288,0
2010,1253,11,-276,0
2011,1477,11,-223,0
2012,1456,10,-294,2
2013,1444,12,-225,2
2014,1432,13,-338,6
2015,1396,12,-362,4
2016,1569,14,-246,0
2016
2017,1561,11,-377,0
2018,1861,14,-496,0
2019,1816,11,-518,2
2020,1670,13,-352,0
2021,1662,13,-556,0
2022,1484,12,-230,1
2023,1867,13,-617,0
2024,1559,12,-432,0
2025,1388,13,-276,2
2026,1656,14,-455,10
2027,1634,15,-439,0
2028,1500,12,-349,3
2029,1481,11,-474,0
2030,1608,11,-549,0
2031,1718,14,-404,0
2032,1444,12,-399,2
2033,1716,13,-380,2
2034,1662,12,-348,0
2035,1746,13,-522,0
2036,1706,13,-456,1
2037,1557,11,-397,0
2038,1816,11,-445,0
2039,1808,13,-416,0
2040,1458,13,-361,12
2041,1793,14,-339,2
2042,1877,11,-372,1
2043,1728,13,-314,4
2044,1749,13,-345,0
2045,1667,13,-335,3
2046,1526,12,-244,3
