year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,53,-67,-42,82
1988,174,-130,-93,124
1989,61,-104,-204,53
1990,33,-180,-286,79
1991,62,-129,-221,78
1992,-11,-134,-199,129
1993,0,-58,-198,83
1994,33,-142,-132,72
1995,181,-139,-156,13
1996,22,-229,-190,100
1997,-30,-118,-259,116
1998,-10,-111,-189,105
1999,31,-103,-137,155
2000,27,-136,3,222
2001,161,-147,-59,78
2002,54,-206,-225,164
2003,-53,-189,-289,25
2004,6,-208,-185,51
2005,-11,-156,-227,6
2006,92,-154,-208,105
2007,106,-168,-129,103
2008,52,-172,-243,83
2009,25,-138,-285,95
2010,27,-242,-81,89
2011,23,-274,-146,64
2012,-37,-17,-179,198
2013,86,-75,-138,125
2014,24,-82,-49,99
2015,46,-245,-201,47
2016,110,33,-292,26
