year,A1,A2,A3
,label A1,label A2,label A3
1987,23,2660,158
1988,8,2669,77
1989,25,2606,167
1990,12,2446,99
1991,11,2543,138
1992,18,2506,121
1993,5,2296,79
1994,5,2497,90
1995,11,2510,96
1996,9,2466,91
1997,17,2435,156
1998,24,2419,141
1999,7,2542,116
2000,24,2329,172
2001,11,2509,96
2002,15,2854,99
2003,12,2501,74
2004,14,2636,110
2005,9,2320,86
2006,12,2345,89
2007,25,2601,176
2008,18,2342,133
2009,10,2354,86
2010,0,2480,28
2011,10,2416,95
2012,10,2429,107
2013,20,2663,140
2014,12,2618,85
2015,13,2587,89
2016,21,2536,149
2016
2017,24,1995,163
2018,47,2246,296
2019,44,2175,266
2020,28,2102,200
2021,14,2482,166
2022,17,2196,108
2023,18,2162,207
2024,11,2070,125
2025,7,2094,87
2026,29,2353,267
2027,32,2361,235
2028,14,2277,118
2029,16,2279,159
2030,13,2158,141
2031,23,2323,173
2032,17,2253,132
2033,19,2331,178
2034,29,2286,207
2035,36,2232,250
2036,23,2267,186
2037,22,2113,152
2038,23,2062,183
2039,29,2213,198
2040,27,2363,196
2041,38,2298,266
2042,38,2335,246
2043,50,2230,278
2044,29,2119,196
2045,34,2227,220
2046,22,2341,174
