year,F1,F3,M4
,label F1,label F3,label M4
1987,55,128,1
1988,70,132,3
1989,58,123,2
1990,77,134,3
1991,57,125,1
1992,45,128,1
1993,66,130,2
1994,57,119,3
1995,28,110,2
1996,51,138,1
1997,39,128,2
1998,58,127,3
1999,51,123,4
2000,42,120,1
2001,54,113,2
2002,35,124,3
2003,28,128,0
2004,78,139,2
2005,44,131,3
2006,29,124,4
2007,55,128,2
2008,62,124,1
2009,36,122,1
2010,54,128,2
2011,57,128,0
2012,52,118,1
2013,43,128,4
2014,63,126,2
2015,49,131,1
2016,48,121,3
2016
2017,35,129,2
2018,46,111,4
2019,45,115,4
2020,56,130,4
2021,25,132,5
2022,36,120,1
2023,44,130,0
2024,29,119,5
2025,26,109,1
2026,40,114,3
2027,50,133,3
2028,35,122,2
2029,49,116,2
2030,56,125,1
2031,49,128,1
2032,53,126,2
2033,24,122,5
2034,51,135,1
2035,43,129,3
2036,40,127,2
2037,39,120,1
2038,39,127,1
2039,53,125,3
2040,40,119,4
2041,34,124,3
2042,43,112,2
2043,28,125,2
2044,35,115,3
2045,47,121,2
2046,43,128,2

min,,80,0
max,,170,8
steps,,10,9
decimal



