year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,99,0,-53,140
1988,236,-49,-100,149
1989,44,-115,-211,133
1990,67,-109,-120,202
1991,97,-126,-177,148
1992,19,-131,-185,144
1993,-21,-185,-138,139
1994,107,-84,-153,80
1995,134,-88,-192,58
1996,16,-211,-221,164
1997,14,-142,-174,96
1998,-28,-100,-226,121
1999,35,-121,-163,110
2000,43,-124,-55,142
2001,89,-59,-36,86
2002,33,-185,-159,145
2003,4,-166,-329,60
2004,58,-129,-174,35
2005,2,-147,-114,2
2006,58,-164,-132,76
2007,48,-214,-89,37
2008,84,-53,-162,32
2009,4,-116,-208,57
2010,20,-162,-116,131
2011,-9,-243,-143,96
2012,-19,-42,-237,128
2013,78,45,-160,205
2014,20,-216,-26,106
2015,39,-218,-234,53
2016,85,55,-235,65
