year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,17,5,-32,2,4,-222,44,28,113
1988,27,11,-77,4,7,-268,38,32,91
1989,7,3,-90,3,1,-260,57,25,78
1990,7,0,38,4,1,-140,68,19,88
1991,20,5,-120,4,1,-239,46,24,141
1992,4,2,-89,5,0,-242,53,29,102
1993,13,2,-25,3,5,-274,53,20,91
1994,8,0,-124,5,2,-382,52,19,64
1995,3,0,-28,4,6,-220,48,8,97
1996,15,7,-59,4,2,-251,43,37,61
1997,11,0,-39,5,4,-257,54,11,122
1998,16,3,-40,5,6,-255,55,15,87
1999,21,1,-121,5,10,-390,57,16,29
2000,20,3,-124,3,9,-364,53,17,125
2001,5,0,-32,6,6,-214,65,26,98
2002,29,5,-13,5,7,-198,62,24,121
2003,13,0,-97,3,1,-211,51,18,166
2004,10,1,-16,3,1,-191,61,29,72
2005,17,3,-126,5,2,-330,40,26,70
2006,19,0,-35,6,1,-266,67,8,67
2007,9,0,-14,4,1,-96,44,22,147
2008,13,1,-8,4,5,-148,53,5,150
2009,9,3,-37,4,4,-98,61,30,208
2010,20,5,-89,4,6,-222,47,18,121
2011,1,3,-45,3,3,-153,64,24,124
2012,23,4,-24,1,5,-196,45,25,109
2013,26,1,-50,7,5,-225,55,24,129
2014,29,1,-90,5,2,-241,44,27,118
2015,23,1,-40,4,4,-166,46,26,86
2016,25,0,-3,5,0,-193,37,22,75
2016
2017,30,2,-166,8,4,-351,42,5,158
2018,29,2,-90,3,6,-270,49,19,189
2019,14,2,-133,6,3,-343,59,15,82
2020,30,3,-86,4,4,-293,42,10,74
2021,24,1,-194,6,6,-426,42,5,57
2022,8,5,-84,3,0,-239,60,12,103
2023,13,6,-63,1,6,-242,51,7,93
2024,22,0,-202,5,4,-400,37,6,102
2025,19,0,-24,6,4,-173,47,6,142
2026,33,0,-161,5,4,-400,35,20,96
2027,27,8,-141,4,4,-383,46,13,116
2028,19,2,-96,4,10,-291,55,16,76
2029,36,0,-159,4,4,-342,26,12,95
2030,32,0,-157,4,5,-363,34,9,100
2031,21,4,-69,6,7,-230,50,5,138
2032,17,1,-51,4,1,-210,45,4,78
2033,31,0,-105,5,7,-359,42,13,57
2034,14,4,-55,2,1,-226,59,4,106
2035,31,5,-94,5,8,-321,41,11,62
2036,27,4,-94,2,12,-293,52,4,82
2037,22,2,-56,3,3,-228,58,9,93
2038,27,6,-106,3,7,-317,52,4,63
2039,39,1,-30,5,13,-242,31,10,29
2040,23,0,-111,7,4,-285,53,21,144
2041,22,4,-114,6,9,-331,58,15,80
2042,31,4,-74,5,8,-278,37,13,104
2043,37,7,-113,5,9,-336,31,21,85
2044,40,0,-129,6,5,-300,39,14,93
2045,20,0,-96,7,9,-288,48,11,62
2046,17,1,-67,5,5,-269,52,6,61

min,,,,0
max,,,,14
steps,,,,8
decimal



