year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,110,-468,-414,140
1988,-64,-264,-594,44
1989,-78,-411,-558,472
1990,-109,-312,-513,-35
1991,57,-393,-439,85
1992,-108,-292,-527,-44
1993,-134,-319,-573,-52
1994,-125,-433,-622,-32
1995,-120,-514,-618,56
1996,172,-317,-514,288
1997,-105,-412,-533,232
1998,-81,-384,-499,-126
1999,-141,-473,-520,60
2000,-174,-319,-601,133
2001,91,-468,-531,62
2002,-50,-411,-446,105
2003,-18,-412,-562,208
2004,-40,-297,-557,-107
2005,-112,-517,-593,-61
2006,47,-381,-490,30
2007,-77,-293,-482,29
2008,-90,-266,-534,-10
2009,51,-459,-541,66
2010,344,-340,-522,300
2011,-18,-314,-501,-58
2012,-168,-371,-481,148
2013,239,-379,-498,-64
2014,34,-334,-521,76
2015,-92,-451,-530,-60
2016,-59,-245,-561,73
