year,annual-frozen-days
1987,9
1988,6
1989,2
1990,0
1991,0
1992,8
1993,12
1994,11
1995,5
1996,2
1997,0
1998,6
1999,5
2000,3
2001,0
2002,0
2003,3
2004,5
2005,15
2006,6
2007,5
2008,4
2009,3
2010,0
2011,0
2012,17
2013,2
2014,0
2015,2
2016,1
