year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,290,55,190,319
1988,131,157,0,209
1989,114,78,33,652
1990,91,124,9,168
1991,231,49,79,260
1992,90,150,27,112
1993,74,121,11,111
1994,70,71,4,133
1995,91,27,2,257
1996,339,151,32,462
1997,113,68,18,407
1998,120,68,82,61
1999,53,51,53,222
2000,38,157,5,305
2001,270,46,38,244
2002,136,73,108,275
2003,165,89,38,360
2004,123,164,10,69
2005,85,19,0,119
2006,208,79,66,193
2007,84,132,52,192
2008,94,203,35,151
2009,234,42,30,249
2010,491,95,19,451
2011,138,139,27,117
2012,22,94,52,290
2013,381,49,12,102
2014,208,153,22,248
2015,94,57,41,106
2016,113,199,5,232
