year,annual-frozen-days
1987,113
1988,90
1989,84
1990,62
1991,100
1992,84
1993,77
1994,51
1995,101
1996,122
1997,104
1998,78
1999,88
2000,54
2001,91
2002,52
2003,97
2004,112
2005,106
2006,97
2007,60
2008,97
2009,99
2010,108
2011,82
2012,84
2013,110
2014,58
2015,85
2016,85
