year,A1,A2,A3
,label A1,label A2,label A3
1987,7,3305,77
1988,5,3506,51
1989,8,3283,72
1990,16,3395,110
1991,1,3343,34
1992,9,3426,76
1993,11,3174,105
1994,7,3117,78
1995,8,2965,44
1996,7,3132,45
1997,2,3168,34
1998,7,3084,58
1999,17,3542,152
2000,10,3458,109
2001,9,3518,88
2002,7,3419,76
2003,9,3287,62
2004,10,3302,104
2005,11,3379,79
2006,5,3637,46
2007,10,3324,68
2008,7,3411,54
2009,14,3337,104
2010,7,3416,47
2011,4,3323,40
2012,8,3406,80
2013,11,3181,75
2014,1,3185,31
2015,5,3505,51
2016,1,3014,19
2016
2017,17,2918,108
2018,42,3205,318
2019,19,2867,138
2020,24,3114,176
2021,15,2749,108
2022,30,3004,177
2023,17,2818,157
2024,14,2954,109
2025,15,3064,110
2026,6,3067,62
2027,17,2790,111
2028,4,3028,60
2029,38,2925,288
2030,7,2846,106
2031,11,3071,94
2032,17,3283,114
2033,34,2816,225
2034,23,2867,170
2035,21,3014,153
2036,26,2714,175
2037,27,2823,181
2038,15,2963,148
2039,21,3028,124
2040,31,2663,219
2041,29,2901,216
2042,17,3169,146
2043,19,2903,130
2044,35,3137,220
2045,22,2793,175
2046,24,3012,153

min,,2000
max,,4000
steps,,9
decimal
