year,annual-estival-days
1987,31
1988,20
1989,18
1990,28
1991,31
1992,30
1993,28
1994,44
1995,28
1996,19
1997,29
1998,23
1999,22
2000,27
2001,24
2002,18
2003,67
2004,33
2005,37
2006,46
2007,31
2008,29
2009,34
2010,31
2011,32
2012,31
2013,35
2014,23
2015,44
2016,36
