year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,86,46,-27,116
1988,337,-114,-96,177
1989,30,-56,-11,147
1990,15,-70,-147,118
1991,11,-37,-154,47
1992,39,-157,-110,190
1993,-31,-58,-16,112
1994,72,3,-88,60
1995,104,115,-60,114
1996,4,-85,138,148
1997,13,-56,-80,108
1998,124,-61,86,317
1999,239,293,47,261
2000,235,20,228,117
2001,303,160,91,202
2002,199,107,537,276
2003,129,-105,-35,227
2004,176,-94,-114,120
2005,65,-72,4,69
2006,65,-86,-77,6
2007,68,-90,-27,68
2008,42,-129,-54,77
2009,71,-48,-135,115
2010,31,-24,34,138
2011,-2,-198,-47,89
2012,17,-88,-80,162
2013,83,0,-145,84
2014,-7,-113,115,73
2015,54,58,-199,53
2016,129,112,-45,78
