year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,340,93,48,273
1988,383,68,51,302
1989,65,82,69,184
1990,47,94,58,484
1991,170,142,143,294
1992,129,146,84,162
1993,193,151,1,278
1994,242,99,5,278
1995,315,78,157,274
1996,420,98,177,258
1997,217,77,61,285
1998,163,79,15,252
1999,346,92,76,215
2000,121,74,13,99
2001,181,139,79,278
2002,122,38,155,316
2003,455,135,39,189
2004,158,76,36,300
2005,534,147,121,437
2006,233,92,93,112
2007,142,107,13,320
2008,158,73,65,247
2009,381,97,126,321
2010,271,22,31,270
2011,310,173,56,82
2012,243,53,123,273
2013,401,68,66,349
2014,271,71,93,334
2015,383,149,111,152
2016,232,196,180,245
