year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.5,14.9,22.5,10.1
1988,6.7,16.0,22.6,9.1
1989,6.0,15.3,21.3,9.6
1990,6.0,15.7,21.4,11.3
1991,5.9,14.4,20.4,9.1
1992,4.1,14.7,20.8,10.5
1993,4.6,15.7,21.7,11.2
1994,7.4,15.9,22.7,10.5
1995,7.1,15.6,20.4,9.4
1996,4.9,15.1,20.6,9.9
1997,5.8,14.8,19.9,10.0
1998,5.6,17.4,22.7,9.8
1999,5.3,16.7,20.5,6.9
2000,3.5,12.9,18.2,9.0
2001,8.1,15.2,20.7,6.2
2002,4.5,13.6,18.9,10.4
2003,4.6,16.3,21.8,10.8
2004,6.1,15.6,21.6,11.3
2005,5.8,15.5,21.7,9.3
2006,5.9,16.2,21.7,9.9
2007,7.1,16.6,22.5,10.3
2008,6.8,16.9,22.0,10.9
2009,6.5,16.8,21.9,11.1
2010,7.6,16.6,22.2,11.7
2011,5.9,14.6,22.1,8.7
2012,4.6,16.4,22.9,10.9
2013,7.0,16.4,21.6,10.1
2014,7.6,14.9,21.5,10.4
2015,5.5,15.0,22.5,10.3
2016,8.0,16.8,21.3,9.3
