year,annual-estival-days
1987,124
1988,126
1989,114
1990,135
1991,111
1992,122
1993,145
1994,134
1995,120
1996,113
1997,118
1998,145
1999,121
2000,95
2001,132
2002,85
2003,133
2004,114
2005,114
2006,117
2007,126
2008,135
2009,119
2010,119
2011,108
2012,130
2013,133
2014,121
2015,109
2016,126

min,80
max,170
steps ,10
decimals
