year,A1,A2,A3
,label A1,label A2,label A3
1987,19,2473,252
1988,10,2862,189
1989,49,2605,412
1990,19,2582,245
1991,16,2646,268
1992,31,2425,256
1993,20,2660,245
1994,25,2826,399
1995,26,2525,257
1996,22,2187,301
1997,15,2534,260
1998,23,2490,247
1999,32,2477,305
2000,4,2680,222
2001,29,2735,277
2002,20,2589,278
2003,23,2586,283
2004,25,2670,308
2005,25,2234,281
2006,12,2424,204
2007,21,2541,302
2008,2,2694,133
2009,46,2764,437
2010,16,2690,266
2011,37,2380,384
2012,16,2411,287
2013,6,2560,160
2014,20,2411,255
2015,11,2662,199
2016,32,2666,313
2016
2017,31,2338,324
2018,32,2609,367
2019,41,2377,339
2020,30,2640,355
2021,39,2436,394
2022,39,2538,271
2023,42,2473,384
2024,53,2255,420
2025,46,2259,387
2026,24,2363,338
2027,46,2314,341
2028,40,2609,369
2029,18,2182,305
2030,69,2394,531
2031,46,2471,401
2032,46,2379,404
2033,39,2148,429
2034,28,2432,335
2035,36,2227,378
2036,30,2342,323
2037,38,2407,384
2038,55,2400,470
2039,44,2344,383
2040,44,2277,388
2041,46,2258,401
2042,23,2402,299
2043,20,2459,256
2044,30,2504,315
2045,37,2507,336
2046,38,2286,387

min,2,600,130
max,155,3000,1200
steps,9,9,9
decimals
