year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,51,123,2
1988,76,140,3
1989,46,137,2
1990,40,125,3
1991,68,125,3
1992,52,126,2
1993,51,140,3
1994,65,141,3
1995,52,132,3
1996,28,121,3
1997,60,132,4
1998,58,125,4
1999,59,128,3
2000,43,135,3
2001,69,136,2
2002,64,138,2
2003,53,136,4
2004,75,139,4
2005,37,120,3
2006,46,135,3
2007,40,130,3
2008,62,141,3
2009,75,138,4
2010,78,146,3
2011,65,136,3
2012,36,128,3
2013,67,140,3
2014,32,126,4
2015,41,134,3
2016,50,128,3
2016
2017,57,125,3
2018,63,136,4
2019,65,125,4
2020,79,133,3
2021,38,140,2
2022,62,141,2
2023,53,135,3
2024,48,127,4
2025,50,120,3
2026,32,140,4
2027,48,123,3
2028,70,138,4
2029,37,133,4
2030,49,127,2
2031,59,131,2
2032,34,125,3
2033,36,129,3
2034,59,129,4
2035,38,131,4
2036,39,133,1
2037,59,132,4
2038,46,132,2
2039,40,126,3
2040,34,127,4
2041,36,129,3
2042,60,129,3
2043,68,141,3
2044,54,134,2
2045,29,133,4
2046,39,127,4
