year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,211,-294,-429,154
1988,242,-345,-454,160
1989,-99,-326,-411,53
1990,-126,-286,-353,360
1991,54,-212,-272,167
1992,7,-213,-375,18
1993,56,-227,-502,140
1994,84,-306,-540,148
1995,174,-334,-270,141
1996,319,-275,-232,153
1997,91,-309,-373,167
1998,44,-386,-581,104
1999,207,-367,-399,88
2000,-9,-308,-476,-47
2001,12,-251,-388,146
2002,6,-340,-255,205
2003,356,-222,-398,74
2004,51,-263,-386,189
2005,415,-211,-316,331
2006,112,-301,-345,-7
2007,13,-273,-498,202
2008,11,-347,-386,123
2009,250,-297,-328,193
2010,125,-382,-421,136
2011,186,-174,-446,-51
2012,106,-387,-381,137
2013,258,-363,-414,223
2014,135,-295,-355,218
2015,261,-222,-364,22
2016,79,-229,-240,121
