year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.2,12.2,17.4,5.8
1988,3.5,13.6,17.2,5.9
1989,4.6,13.2,18.0,5.7
1990,4.7,12.9,16.6,5.0
1991,1.8,10.9,18.1,4.0
1992,3.4,14.2,18.3,5.3
1993,2.7,15.2,17.0,4.6
1994,4.2,13.7,19.1,7.3
1995,3.0,12.8,18.0,5.0
1996,-0.2,12.8,15.5,4.5
1997,3.1,12.6,17.9,5.2
1998,4.7,14.6,17.2,4.8
1999,3.6,14.0,19.3,5.5
2000,4.7,15.4,17.2,7.1
2001,4.1,13.4,17.9,6.0
2002,4.4,14.4,17.7,6.4
2003,2.5,15.8,20.1,5.5
2004,2.7,13.1,17.7,5.5
2005,1.9,13.9,17.7,5.5
2006,0.4,13.5,19.1,8.0
2007,5.6,15.5,16.3,4.9
2008,4.4,14.4,17.1,5.5
2009,0.9,14.5,18.2,5.7
2010,0.9,13.0,17.2,3.7
2011,3.0,14.9,17.6,6.2
2012,2.8,14.0,17.7,5.4
2013,1.0,12.9,17.8,6.4
2014,5.3,14.2,17.6,7.3
2015,3.1,13.6,18.9,7.6
2016,3.5,13.6,18.8,5.0
