year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,11,6,-130.87,5,7,-210.77,41,15,121
1988,8,24,-43,4,11,-139,59,38,120
1989,11,35,-12,2,12,-53,63,31,164
1990,21,23,-151,4,5,-253,48,39,102
1991,25,22,-115,3,5,-240,52,50,140
1992,15,15,-69,4,16,-258,40,27,36
1993,10,35,-123,3,4,-289,55,47,158
1994,14,13,-161,3,16,-222,54,29,137
1995,33,20,-152,4,6,-196,42,38,210
1996,6,39,-131,3,5,-264,53,40,148
1997,14,42,-140,4,8,-287,50,29,84
1998,8,25,-131,3,2,-215,66,36,168
1999,1,13,-128,3,6,-254,59,39,124
2000,13,19,-191,4,4,-261,46,43,176
2001,8,42,-79,3,10,-192,55,42,137
2002,11,26,-77,4,4,-173,60,22,94
2003,17,32,-85,3,14,-182,54,36,111
2004,30,19,-137,3,25,-296,44,52,173
2005,16,20,-116,3,9,-207,59,37,125
2006,15,41,-89,3,14,-243,57,31,162
2007,18,40,-125,2,21,-325,48,39,92
2008,12,30,-89,4,5,-101,47,31,211
2009,4,23,-36,1,15,-182,58,25,67
2010,7,23,-42,1,17,-172,65,38,68
2011,5,32,-54,3,3,-103,66,46,175
2012,19,22,-173,5,5,-241,47,28,143
2013,6,33,-83,3,13,-173,70,35,115
2014,16,23,-146,3,12,-267,62,23,141
2015,15,52,-141,4,15,-246,51,13,132
2016,13,35,-108,5,4,-195,58,27,165
2016
2017,12,10,-111,2,19,-233,49,20,65
2018,10,22,-35,5,14,-211,80,20,134
2019,29,15,-113,5,16,-293,49,14,116
2020,22,14,-78,4,19,-191,55,30,168
2021,13,30,-132,4,15,-317,49,23,102
2022,28,22,-133,6,15,-305,45,31,71
2023,5,19,-117,3,5,-271,62,12,102
2024,19,13,-97,5,32,-343,50,14,112
2025,24,10,-58,4,30,-267,61,16,90
2026,12,21,-207,7,18,-384,56,18,121
2027,27,16,-60,2,19,-172,44,21,121
2028,29,8,-107,2,26,-290,57,13,67
2029,19,21,-40,2,29,-283,52,26,91
2030,26,28,-193,5,17,-449,42,33,55
2031,20,9,-102,4,18,-233,42,31,98
2032,20,26,-130,3,7,-234,46,23,83
2033,22,24,-79,2,8,-227,49,28,70
2034,23,27,-106,2,7,-264,59,9,79
2035,13,28,-69,4,14,-252,56,21,54
2036,14,10,-32,4,6,-169,59,14,132
2037,14,13,-127,3,9,-287,52,30,96
2038,19,19,-66,5,7,-199,43,30,83
2039,27,18,-89,4,12,-238,53,31,87
2040,31,4,-139,6,14,-318,42,21,39
2041,16,28,-76,2,21,-242,52,14,162
2042,20,21,-39,1,13,-209,46,9,66
2043,22,17,-109,3,18,-227,55,10,85
2044,16,28,-105,5,18,-269,42,27,97
2045,24,20,-110,4,13,-231,47,14,97
2046,28,10,-131,3,8,-208,44,19,112

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
