year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,64,3,-71,74
1988,184,-99,-124,108
1989,27,-129,-180,108
1990,-20,-166,-159,58
1991,-24,-130,-163,-1
1992,46,-58,-94,77
1993,-30,-204,-202,189
1994,38,-112,-146,50
1995,142,-98,-43,72
1996,-26,-152,-14,85
1997,41,-146,-127,65
1998,-5,-161,-140,182
1999,61,-99,-160,96
2000,103,-226,-59,29
2001,92,-154,-196,116
2002,79,-114,-66,154
2003,3,-237,-305,51
2004,24,-152,-72,42
2005,40,-154,-94,53
2006,33,-144,-64,50
2007,90,-140,-4,46
2008,83,-165,-143,54
2009,41,-163,-169,133
2010,14,-170,32,161
2011,-7,-208,-124,77
2012,-6,-202,-176,140
2013,25,-77,-73,89
2014,-11,-171,-69,68
2015,28,-233,-225,83
2016,87,-113,-199,55
