year,A1,A2,A3
,label A1,label A2,label A3
1987,12,2655,101
1988,12,2917,106
1989,14,3215,81
1990,10,2999,86
1991,5,3332,95
1992,25,2849,174
1993,4,3504,61
1994,18,2962,141
1995,26,3135,181
1996,7,3385,97
1997,19,3258,154
1998,6,3253,59
1999,6,2918,71
2000,4,3097,80
2001,14,3584,111
2002,5,3075,54
2003,20,3412,164
2004,24,3284,193
2005,10,2867,71
2006,24,3268,178
2007,33,3412,257
2008,7,3095,58
2009,18,2997,129
2010,25,2977,152
2011,4,3267,34
2012,19,2983,120
2013,18,3094,125
2014,18,2985,140
2015,19,3227,136
2016,10,3134,92
2016
2017,34,2616,205
2018,17,2926,126
2019,34,2576,249
2020,39,2803,214
2021,17,2973,180
2022,26,2910,180
2023,15,2584,111
2024,31,2569,287
2025,42,2593,261
2026,20,2902,155
2027,21,2575,194
2028,45,2637,265
2029,29,2998,250
2030,19,3004,174
2031,34,2680,239
2032,16,2855,105
2033,19,2994,137
2034,22,2941,158
2035,24,2654,155
2036,6,2613,88
2037,18,2832,138
2038,18,2653,137
2039,26,2860,167
2040,32,2599,200
2041,32,2745,191
2042,20,2580,171
2043,24,2733,180
2044,39,2984,231
2045,36,2816,218
2046,25,2620,162
