year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,625,671,-255,-307,-2,10.7,3986,58,18.3,59
1988,737,622,-98,-225,95,10.1,3759,31,17.1,51
1989,624,677,-277,-340,42,11.5,4226,58,19.0,50
1990,677,612,-155,-189,50,10.2,3738,27,16.7,61
1991,754,737,-272,-329,27,10.9,4026,52,17.7,51
1992,856,681,-49,-199,70,11.8,4337,68,19.6,45
1993,640,723,-358,-333,-47,11.2,4110,45,18.8,36
1994,641,699,-340,-375,10,11.3,4134,35,18.0,37
1995,677,633,-167,-271,37,10.8,3982,33,17.4,52
1996,662,722,-325,-337,-15,10.1,3712,41,16.8,65
1997,800,773,-238,-313,7,11.2,4132,74,19.3,56
1998,537,658,-347,-378,-17,11.4,4233,63,18.8,55
1999,652,750,-388,-357,-43,11.6,4252,46,17.2,33
2000,788,763,-258,-313,26,11.4,4197,58,19.4,55
2001,763,659,-109,-268,160,11.4,4174,55,17.3,50
2002,738,654,-146,-228,61,11.1,4211,58,19.0,65
2003,604,658,-277,-388,46,11.3,4173,58,18.7,47
2004,652,643,-224,-270,40,10.6,3876,50,17.8,53
2005,682,678,-215,-349,94,11.6,4247,60,19.7,50
2006,577,697,-334,-406,58,10.9,4051,62,18.9,58
2007,680,621,-172,-187,16,11.2,4127,40,18.5,43
2008,647,635,-200,-283,114,10.4,3819,34,17.8,52
2009,614,672,-280,-384,106,11.1,4142,58,19.6,57
2010,656,647,-213,-349,87,11.0,4062,41,17.3,45
2011,795,654,-80,-255,111,11.0,4052,56,18.5,53
2012,728,677,-172,-280,27,11.0,4107,48,18.8,55
2013,685,597,-135,-204,31,10.7,3911,34,17.7,42
2014,681,623,-156,-251,62,10.1,3780,28,16.6,64
2015,608,661,-288,-289,29,10.8,3999,55,18.4,55
2016,638,639,-224,-275,72,10.9,3996,40,17.9,50
2016
2017,614,697,-312,-402,99,12.0,4408,80,20.1,54
2018,568,656,-326,-413,37,12.5,4560,62,18.8,26
2019,383,695,-523,-520,26,11.4,4264,70,20.3,61
2020,595,739,-365,-447,121,11.7,4323,83,20.8,49
2021,518,806,-586,-570,-50,12.6,4637,94,20.7,37
2022,529,711,-406,-458,14,12.2,4463,82,19.1,32
2023,579,819,-570,-577,-7,12.7,4670,87,20.3,28
2024,688,806,-404,-501,35,12.3,4535,88,20.8,37
2025,579,707,-346,-408,8,12.3,4509,87,21.2,32
2026,641,801,-466,-452,8,12.8,4689,89,20.3,26
2027,485,806,-640,-599,-1,13.8,5040,105,20.7,22
2028,560,688,-355,-376,44,11.7,4306,73,18.5,50
2029,672,827,-475,-433,-71,12.7,4635,95,20.9,37
2030,570,830,-539,-541,3,12.1,4481,85,19.6,53
2031,703,667,-182,-282,89,12.3,4505,79,20.4,37
2032,535,718,-397,-431,18,11.9,4387,83,20.7,57
2033,630,723,-314,-367,73,12.5,4574,80,20.0,39
2034,618,707,-320,-403,80,12.3,4520,72,18.8,42
2035,539,711,-406,-481,64,12.7,4644,82,20.6,21
2036,710,692,-213,-306,37,11.9,4393,77,20.4,64
2037,560,660,-333,-339,42,11.9,4356,63,19.3,46
2038,541,693,-392,-379,10,12.1,4422,77,19.3,48
2039,657,680,-250,-296,21,12.7,4642,70,19.7,23
2040,596,768,-401,-457,77,12.7,4699,99,21.7,55
2041,499,754,-478,-509,30,12.4,4551,98,21.5,57
2042,787,668,-104,-275,154,11.6,4295,61,19.5,55
2043,679,705,-245,-402,87,12.8,4679,77,20.3,34
2044,708,685,-221,-359,102,12.9,4744,96,20.3,24
2045,734,654,-142,-335,134,12.3,4509,64,19.2,19
2046,476,667,-404,-405,-16,11.5,4195,66,19.2,40
