year,F1,F3,M4
,label F1,label F3,label M4
1987,62,131,2
1988,56,122,2
1989,30,132,3
1990,50,148,4
1991,33,131,4
1992,42,126,2
1993,40,134,2
1994,40,117,2
1995,46,124,2
1996,58,133,1
1997,34,124,1
1998,49,120,3
1999,35,126,1
2000,32,133,2
2001,54,123,3
2002,52,119,2
2003,54,122,1
2004,50,130,3
2005,41,127,3
2006,62,128,2
2007,53,116,3
2008,43,122,1
2009,50,132,4
2010,23,125,1
2011,41,123,2
2012,46,119,2
2013,34,130,2
2014,58,133,1
2015,44,117,2
2016,41,124,3
2016
2017,62,124,3
2018,36,109,2
2019,66,126,5
2020,53,119,3
2021,33,126,4
2022,43,119,2
2023,42,111,5
2024,42,127,3
2025,40,126,2
2026,34,122,2
2027,28,111,5
2028,42,116,2
2029,42,112,3
2030,26,121,3
2031,55,115,2
2032,56,124,3
2033,32,124,2
2034,45,113,4
2035,40,112,3
2036,40,127,3
2037,45,121,2
2038,58,124,4
2039,44,112,4
2040,35,124,3
2041,52,115,4
2042,54,118,4
2043,37,116,4
2044,30,115,2
2045,39,114,3
2046,33,128,5

min,,80,0
max,,170,8
steps,,10,9
decimal



