year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,113,271,318,259
1988,260,293,202,189
1989,89,277,181,126
1990,181,316,132,288
1991,187,198,292,185
1992,81,229,257,232
1993,43,238,200,179
1994,137,239,243,186
1995,230,174,258,160
1996,131,203,137,251
1997,81,230,164,187
1998,110,234,187,176
1999,201,240,234,214
2000,72,237,266,155
2001,172,250,208,179
2002,68,188,200,222
2003,88,105,139,251
2004,189,153,311,271
2005,120,237,167,163
2006,141,236,286,179
2007,174,211,330,88
2008,134,323,223,255
2009,82,299,221,179
2010,139,251,289,219
2011,94,72,204,221
2012,77,313,135,172
2013,135,251,137,201
2014,137,160,278,232
2015,121,172,152,116
2016,247,323,84,200
