year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-9,-138,-127,171
1988,187,-29,-206,1
1989,-10,-168,-282,13
1990,5,-180,-325,84
1991,32,-184,-210,85
1992,-29,-187,-150,214
1993,-35,-33,-185,141
1994,69,-143,-133,88
1995,103,-219,-206,126
1996,85,-165,-218,175
1997,-5,-162,-274,133
1998,4,-87,-214,110
1999,40,-124,-64,223
2000,3,-85,-179,264
2001,167,-165,-144,53
2002,56,-133,-139,209
2003,6,-198,-289,214
2004,68,-225,-198,64
2005,-20,-183,-280,50
2006,171,-236,-196,193
2007,131,-75,-155,29
2008,68,-57,-180,93
2009,1,-97,-243,158
2010,48,-160,-225,158
2011,-22,-305,-166,134
2012,-47,-23,-246,282
2013,82,-44,-215,165
2014,135,-64,-121,80
2015,33,-180,-148,-11
2016,147,-47,-303,8
