year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,69,61,63,92,40,28,25,28,43,40,45,140,86,45
2001,61,53,55,94,50,30,23,22,43,40,45,140,71,37
2002,74,65,66,98,58,33,24,25,47,38,48,145,80,43
2003,63,56,51,84,46,31,24,24,44,28,49,86,41,27
2004,68,62,62,99,52,33,22,25,37,28,58,125,67,53
2005,69,65,58,67,41,38,21,20,42,25,51,95,55,45
2006,63,62,53,86,50,31,19,20,38,24,51,90,65,52
2007,59,50,50,104,55,27,26,25,35,25,47,129,95,67
2008,66,59,55,88,54,27,24,25,45,28,41,116,94,71
2009,69,62,60,77,50,35,23,25,41,30,56,95,65,50
2010,62,53,50,84,45,29,22,21,31,18,53,97,50,38
2011,53,50,46,100,55,32,24,20,26,15,52,116,47,35
2012,73,68,63,79,52,36,22,25,42,27,44,96,78,56
2013,67,62,58,79,52,29,21,24,39,23,46,114,85,66
2014,70,66,60,105,65,37,25,30,36,32,56,126,92,69
2015,70,64,67,82,45,33,19,21,35,26,56,115,90,73
2016,56,54,37,61,40,33,19,21,32,20,58,95,80,62
2017,65,57,53,92,50,34,28,27,30,24,51,115,64,51
