year,F1,F3,M4
,label F1,label F3,label M4
1987,40,121,3
1988,38,117,2
1989,35,119,4
1990,34,110,3
1991,34,111,1
1992,41,123,2
1993,41,114,1
1994,37,116,4
1995,53,131,3
1996,32,118,2
1997,38,121,2
1998,58,119,4
1999,38,116,3
2000,41,131,2
2001,46,118,1
2002,30,117,2
2003,69,123,3
2004,55,129,4
2005,53,125,4
2006,27,112,3
2007,39,123,2
2008,28,119,4
2009,33,129,1
2010,50,133,2
2011,37,123,3
2012,59,122,3
2013,38,109,1
2014,29,113,1
2015,35,129,6
2016,33,121,3
2016
2017,35,128,5
2018,28,115,4
2019,28,118,3
2020,32,109,6
2021,39,113,5
2022,47,112,4
2023,34,114,4
2024,34,113,2
2025,35,121,3
2026,38,120,4
2027,29,110,4
2028,31,123,5
2029,25,108,6
2030,39,113,5
2031,22,120,4
2032,29,121,3
2033,44,113,5
2034,44,118,3
2035,28,118,4
2036,24,116,5
2037,32,113,3
2038,47,114,5
2039,28,128,4
2040,35,107,4
2041,30,128,2
2042,39,125,5
2043,40,117,7
2044,41,117,6
2045,31,122,4
2046,50,114,7
