year,A1,A2,A3
,label A1,label A2,label A3
1987,16,2653,121
1988,7,3101,73
1989,4,2918,54
1990,5,3219,47
1991,11,3204,112
1992,15,3063,108
1993,2,3030,43
1994,4,2836,58
1995,16,2767,101
1996,4,3363,43
1997,7,2791,95
1998,14,3178,97
1999,11,2816,114
2000,4,3209,72
2001,3,3268,33
2002,23,2987,156
2003,5,3193,31
2004,12,3059,78
2005,13,3209,78
2006,10,3339,83
2007,17,3160,142
2008,11,3133,85
2009,9,3054,63
2010,13,2877,84
2011,22,3292,148
2012,15,3390,111
2013,16,3081,106
2014,14,3034,90
2015,38,3334,238
2016,38,3275,225
2016
2017,48,2477,280
2018,12,2659,97
2019,17,2751,94
2020,21,3149,130
2021,27,3058,201
2022,20,2659,146
2023,19,2745,188
2024,20,2942,181
2025,24,2839,178
2026,9,2685,94
2027,20,2985,164
2028,27,2619,168
2029,16,2745,156
2030,20,3010,174
2031,20,2824,123
2032,24,2850,166
2033,28,2795,202
2034,13,2639,122
2035,34,2911,187
2036,27,2698,190
2037,5,3085,90
2038,24,2479,183
2039,10,2859,105
2040,25,2775,154
2041,4,2619,60
2042,10,2930,91
2043,6,2663,68
2044,32,2998,201
2045,13,2853,109
2046,42,2785,241

min,,2000
max,,4000
steps,,9
decimal
