year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,117,152,238,138
1988,193,131,113,124
1989,71,94,110,144
1990,106,219,151,102
1991,52,153,64,115
1992,123,111,219,136
1993,90,242,232,118
1994,181,178,175,157
1995,175,141,147,79
1996,26,105,128,104
1997,73,132,121,107
1998,130,128,156,204
1999,138,159,99,143
2000,148,98,159,97
2001,102,131,217,112
2002,176,134,145,172
2003,69,71,114,112
2004,136,129,201,114
2005,108,136,260,123
2006,109,133,132,122
2007,183,198,240,87
2008,208,126,152,129
2009,90,97,102,219
2010,102,159,197,154
2011,101,153,337,106
2012,108,155,140,131
2013,138,199,193,170
2014,74,190,259,106
2015,140,91,176,178
2016,115,105,99,139
