year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1441,8,-146,1
1988,1233,11,-354,5
1989,1408,11,-267,0
1990,1263,10,-372,1
1991,1176,11,-487,7
1992,1529,12,-279,0
1993,1272,12,-452,4
1994,1351,10,-463,1
1995,1255,9,-180,10
1996,1176,9,-359,2
1997,1486,11,-446,0
1998,1303,10,-262,1
1999,1388,11,-491,0
2000,1270,11,-420,8
2001,1124,11,-241,7
2002,1531,12,-340,3
2003,1126,9,-252,13
2004,1126,8,-239,3
2005,1251,10,-250,7
2006,1235,10,-385,11
2007,1505,10,-242,0
2008,1353,12,-376,6
2009,1329,13,-310,3
2010,1269,11,-267,3
2011,1437,12,-221,8
2012,1186,8,-224,12
2013,1283,11,-255,9
2014,1322,10,-263,0
2015,1707,10,-392,1
2016,1570,11,-302,7
2016
2017,1820,10,-300,0
2018,1398,10,-307,1
2019,1448,12,-276,3
2020,1319,11,-318,9
2021,1411,11,-451,8
2022,1565,12,-305,1
2023,1610,11,-533,10
2024,1577,12,-434,1
2025,1462,9,-359,4
2026,1365,10,-465,0
2027,1384,13,-315,3
2028,1561,10,-295,2
2029,1509,11,-433,1
2030,1660,10,-466,3
2031,1378,11,-305,3
2032,1568,10,-342,4
2033,1626,11,-343,7
2034,1438,11,-378,3
2035,1602,10,-334,3
2036,1514,11,-115,0
2037,1376,9,-357,0
2038,1737,12,-288,0
2039,1452,12,-215,2
2040,1497,10,-330,4
2041,1372,11,-276,0
2042,1323,12,-322,8
2043,1294,12,-236,0
2044,1477,10,-366,5
2045,1409,10,-298,9
2046,1717,10,-358,2

min,,4
max,,17
steps,,8
decimal
