year,annual-precipitations
1987,644
1988,562
1989,420
1990,579
1991,385
1992,589
1993,682
1994,691
1995,542
1996,363
1997,433
1998,617
1999,538
2000,502
2001,562
2002,626
2003,366
2004,580
2005,627
2006,496
2007,708
2008,614
2009,507
2010,611
2011,696
2012,534
2013,700
2014,628
2015,583
2016,457

min,300
max,2000
steps,10
decimal
