year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,664,576,-69,-146,55,10.4,3862,31,16.4,46
1988,409,561,-301,-354,30,9.1,3397,19,16.2,71
1989,513,565,-200,-267,58,9.4,3613,16,16.2,70
1990,423,575,-289,-372,79,8.4,3239,15,16.3,95
1991,396,676,-511,-487,-26,8.6,3322,32,16.9,88
1992,541,567,-184,-279,91,9.5,3674,33,17.9,79
1993,478,682,-439,-452,54,9.0,3441,15,16.4,84
1994,526,703,-396,-463,38,9.6,3621,17,16.3,73
1995,711,548,11,-180,135,10.1,3695,31,16.1,60
1996,544,668,-360,-359,5,8.0,3226,15,15.3,92
1997,509,709,-428,-446,22,10.0,3796,28,16.1,78
1998,553,565,-158,-262,66,8.8,3324,29,17.0,95
1999,576,757,-463,-491,2,9.9,3780,36,17.8,67
2000,469,671,-405,-420,1,8.6,3311,20,16.4,100
2001,540,532,-142,-241,61,8.2,3285,9,15.5,88
2002,493,611,-269,-340,66,9.8,3721,40,17.7,82
2003,536,536,-144,-252,67,8.4,3190,8,15.4,105
2004,546,554,-168,-239,32,8.6,3368,20,15.8,90
2005,546,559,-150,-250,57,8.5,3291,19,14.7,93
2006,450,579,-280,-385,77,8.4,3247,25,15.8,114
2007,554,594,-182,-242,7,9.2,3628,32,17.7,83
2008,447,565,-273,-376,53,9.2,3544,26,17.5,93
2009,482,554,-219,-310,67,9.2,3543,14,16.6,82
2010,520,560,-176,-267,50,9.5,3558,18,16.5,62
2011,576,599,-172,-221,44,9.0,3436,40,17.9,107
2012,570,559,-138,-224,60,8.1,3155,27,16.4,120
2013,513,558,-203,-255,49,9.0,3471,26,17.1,89
2014,485,557,-221,-263,51,9.0,3444,19,15.9,84
2015,390,631,-389,-392,3,9.1,3668,61,18.6,96
2016,528,611,-212,-302,54,9.2,3569,50,19.2,91
2016
2017,617,634,-180,-300,84,11.5,4243,67,19.0,54
2018,456,576,-277,-307,10,10.1,3764,27,16.1,60
2019,577,560,-146,-276,98,10.2,3800,24,16.8,77
2020,458,572,-266,-318,46,9.0,3408,28,17.6,100
2021,435,668,-459,-451,7,9.7,3651,40,18.7,82
2022,472,575,-277,-305,19,10.6,3910,37,17.7,53
2023,454,731,-510,-533,15,10.5,3907,46,17.8,73
2024,488,729,-444,-434,-8,10.0,3769,38,17.9,84
2025,447,563,-282,-359,48,10.1,3795,37,17.7,70
2026,464,702,-506,-465,-7,10.0,3704,23,17.0,63
2027,615,663,-268,-315,57,9.7,3644,39,18.4,74
2028,509,587,-245,-295,59,10.8,3947,43,18.2,47
2029,515,721,-475,-433,-22,10.4,3902,35,17.3,62
2030,412,704,-508,-466,-3,9.7,3727,39,17.7,101
2031,463,534,-228,-305,55,9.8,3681,26,17.0,76
2032,573,590,-170,-342,76,10.0,3765,44,18.1,89
2033,449,603,-303,-343,46,10.4,3842,39,18.4,73
2034,444,585,-316,-378,53,10.5,3888,34,17.9,53
2035,491,593,-256,-334,45,10.0,3799,52,17.1,86
2036,747,577,14,-115,100,10.4,3906,32,18.3,59
2037,448,582,-282,-357,75,9.1,3508,21,16.4,77
2038,590,598,-181,-288,75,11.4,4183,48,18.6,50
2039,572,558,-147,-215,47,9.9,3756,26,17.7,68
2040,537,598,-213,-330,57,10.1,3801,41,16.9,63
2041,462,553,-250,-276,-2,10.1,3758,15,16.1,60
2042,459,557,-249,-322,60,9.5,3549,21,17.4,88
2043,636,540,-63,-236,106,10.2,3763,16,17.6,41
2044,409,586,-333,-366,5,9.6,3649,44,18.6,89
2045,486,591,-267,-298,11,9.9,3726,29,17.5,79
2046,549,626,-227,-358,83,10.6,3917,48,17.4,64
