year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,66,-84,-7,78
1988,124,-163,-156,56
1989,-12,-219,-191,80
1990,-1,-60,-138,37
1991,-22,-85,-227,57
1992,53,-227,-70,85
1993,23,-55,2,66
1994,112,-87,-122,101
1995,98,-125,-155,30
1996,-32,-148,-126,52
1997,0,-148,-174,48
1998,54,-145,-92,155
1999,85,-94,-184,100
2000,89,-190,-68,42
2001,48,-129,-42,61
2002,102,-126,-124,126
2003,7,-257,-195,64
2004,69,-125,-79,60
2005,37,-147,6,70
2006,63,-140,-185,61
2007,89,-94,-2,37
2008,134,-180,-115,78
2009,36,-211,-200,168
2010,42,-106,-84,100
2011,28,-166,96,48
2012,30,-120,-116,83
2013,86,-69,-74,113
2014,-3,-84,-15,55
2015,70,-177,-112,127
2016,52,-187,-175,96
