year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,57,127,0
1988,64,144,1
1989,70,130,0
1990,87,137,0
1991,84,150,0
1992,74,130,0
1993,73,137,0
1994,68,133,0
1995,49,139,0
1996,85,141,0
1997,72,137,0
1998,78,142,0
1999,57,137,1
2000,93,146,0
2001,58,141,0
2002,73,138,0
2003,82,149,1
2004,80,139,1
2005,81,140,0
2006,101,153,0
2007,75,137,1
2008,72,140,0
2009,71,142,0
2010,77,137,1
2011,92,156,0
2012,93,153,0
2013,73,138,1
2014,86,138,0
2015,89,138,0
2016,81,143,0
2016
2017,70,126,1
2018,77,130,0
2019,63,129,0
2020,87,146,0
2021,85,153,0
2022,70,132,0
2023,64,135,0
2024,96,146,0
2025,75,139,0
2026,64,131,0
2027,69,154,0
2028,51,132,0
2029,69,132,0
2030,85,134,0
2031,73,131,0
2032,83,139,0
2033,75,138,0
2034,60,136,0
2035,76,135,0
2036,61,130,0
2037,86,147,1
2038,70,125,0
2039,76,133,0
2040,80,136,0
2041,66,129,1
2042,62,141,0
2043,59,129,0
2044,88,143,1
2045,67,132,0
2046,64,131,0

min,,90,0
max,,190,6
steps,,11,7
decimal
