year,annual-frozen-days
1987,95
1988,70
1989,58
1990,40
1991,72
1992,56
1993,77
1994,50
1995,82
1996,121
1997,80
1998,58
1999,57
2000,41
2001,81
2002,59
2003,95
2004,63
2005,79
2006,73
2007,41
2008,45
2009,72
2010,105
2011,69
2012,66
2013,79
2014,43
2015,48
2016,65
