year,A1,A2,A3
,label A1,label A2,label A3
1987,5,2824,36
1988,5,3027,45
1989,8,2960,68
1990,13,3057,84
1991,2,3188,25
1992,5,2844,48
1993,2,3105,60
1994,3,3174,48
1995,7,2930,53
1996,0,2761,12
1997,16,2781,120
1998,16,2843,95
1999,5,2972,59
2000,12,3033,95
2001,9,3308,60
2002,14,2863,81
2003,11,2926,98
2004,2,2805,41
2005,6,3006,35
2006,7,2988,60
2007,4,2897,48
2008,11,3068,80
2009,18,2920,120
2010,3,2832,31
2011,6,2883,56
2012,20,2888,118
2013,5,3011,37
2014,10,2996,64
2015,26,2716,187
2016,13,2913,93
2016
2017,14,2319,101
2018,1,2646,32
2019,10,2599,104
2020,13,2731,101
2021,17,2527,128
2022,18,2800,108
2023,16,2683,122
2024,3,2532,53
2025,15,2699,100
2026,6,2389,56
2027,15,2718,118
2028,12,2633,74
2029,4,2512,72
2030,16,2447,119
2031,20,2625,128
2032,14,2573,100
2033,9,2566,63
2034,1,2798,28
2035,5,2432,46
2036,32,2675,199
2037,16,2627,95
2038,18,2678,141
2039,18,2496,138
2040,10,2645,93
2041,22,2612,157
2042,18,2365,118
2043,6,2643,63
2044,33,2579,209
2045,5,2577,71
2046,19,2283,140
