year,annual-frozen-days
1987,77
1988,32
1989,25
1990,26
1991,51
1992,36
1993,50
1994,30
1995,46
1996,82
1997,44
1998,51
1999,38
2000,41
2001,53
2002,36
2003,71
2004,31
2005,50
2006,54
2007,24
2008,43
2009,47
2010,74
2011,28
2012,37
2013,65
2014,9
2015,36
2016,38
