year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.1,11.9,16.5,6.9
1988,4.9,12.9,16.0,7.6
1989,6.7,12.8,17.7,8.3
1990,7.6,13.1,16.9,7.5
1991,4.4,11.1,18.5,7.0
1992,4.2,12.8,17.7,6.9
1993,4.5,14.8,16.0,6.3
1994,5.1,13.0,18.2,8.6
1995,5.3,12.7,18.5,7.3
1996,2.3,12.3,15.9,5.7
1997,4.8,12.3,17.6,7.3
1998,5.4,13.3,16.1,5.5
1999,4.8,13.2,18.3,6.5
2000,5.1,14.0,16.5,8.2
2001,4.8,12.6,16.9,7.2
2002,5.9,13.3,16.7,7.6
2003,3.9,14.0,18.1,6.5
2004,4.2,13.0,17.8,6.8
2005,4.3,14.6,17.8,8.2
2006,2.6,14.0,19.8,10.0
2007,7.2,15.6,16.1,6.5
2008,5.7,13.7,16.4,6.4
2009,3.0,14.1,18.2,7.5
2010,2.4,12.5,17.5,4.8
2011,4.9,15.2,16.9,8.8
2012,4.1,12.8,17.2,7.4
2013,1.6,11.9,17.9,8.1
2014,7.0,13.9,17.1,8.7
2015,3.9,13.0,17.7,9.6
2016,4.5,13.3,18.9,7.0
