year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,2.1,12.0,17.1,7.5
1988,6.0,13.0,16.2,8.0
1989,6.0,12.8,17.6,8.2
1990,7.2,12.4,17.8,7.6
1991,4.4,10.9,17.9,6.4
1992,5.4,12.9,17.0,7.8
1993,5.7,13.0,15.2,6.2
1994,6.5,12.5,17.1,9.2
1995,6.4,12.2,18.0,8.1
1996,4.6,11.9,16.3,6.6
1997,5.4,12.4,18.0,8.4
1998,6.0,12.9,16.4,7.3
1999,6.3,13.2,18.3,7.8
2000,5.9,13.2,16.9,8.7
2001,6.1,12.8,17.0,8.2
2002,7.2,12.8,16.4,9.2
2003,5.5,14.3,18.8,7.5
2004,5.4,12.6,17.4,7.6
2005,5.1,13.5,17.4,8.1
2006,3.9,13.4,18.9,8.9
2007,7.1,14.6,15.7,7.2
2008,6.3,13.2,15.9,7.0
2009,4.0,13.3,17.4,8.1
2010,3.7,12.6,17.1,6.0
2011,6.2,14.2,16.8,9.5
2012,5.5,12.1,16.5,8.2
2013,3.5,11.4,18.0,8.4
2014,7.2,12.9,17.0,9.2
2015,5.0,13.3,17.0,10.1
2016,5.5,12.3,18.2,7.3
