year,F1,F3,M4
,label F1,label F3,label M4
1987,51,130,2
1988,43,130,1
1989,58,127,2
1990,59,131,1
1991,51,129,4
1992,46,137,1
1993,60,139,0
1994,36,128,2
1995,63,137,1
1996,38,136,1
1997,35,133,4
1998,48,131,1
1999,33,126,2
2000,46,133,3
2001,32,126,3
2002,59,140,2
2003,74,148,3
2004,49,128,3
2005,65,139,1
2006,40,130,0
2007,60,145,1
2008,59,134,2
2009,44,141,2
2010,55,135,1
2011,70,134,1
2012,61,134,2
2013,28,129,2
2014,43,133,2
2015,40,129,3
2016,67,140,2
2016
2017,36,124,3
2018,38,124,3
2019,44,121,4
2020,28,127,3
2021,52,124,3
2022,41,142,0
2023,68,131,2
2024,53,114,5
2025,26,126,1
2026,39,127,4
2027,39,137,3
2028,29,129,2
2029,38,128,3
2030,48,127,2
2031,49,132,4
2032,27,132,3
2033,38,125,2
2034,46,126,3
2035,39,121,4
2036,40,130,2
2037,54,125,3
2038,42,136,4
2039,54,141,3
2040,24,123,2
2041,39,126,1
2042,51,124,4
2043,37,116,4
2044,56,127,3
2045,23,128,3
2046,44,126,1
