year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,1,3,-56,3,0,-160,70,12,136
1988,7,2,-109,5,4,-276,74,19,121
1989,1,0,-92,5,0,-249,72,15,52
1990,8,6,-34,5,0,-175,83,9,95
1991,1,0,-42,6,0,-192,82,15,85
1992,3,2,-50,4,0,-182,77,21,121
1993,10,1,-108,4,0,-313,64,24,83
1994,1,0,-133,3,1,-274,78,20,62
1995,1,2,-43,5,0,-182,80,30,56
1996,1,0,-86,1,0,-275,78,24,110
1997,6,2,-131,4,2,-328,75,27,69
1998,13,0,-95,4,1,-218,78,7,103
1999,12,0,-95,6,0,-279,69,17,142
2000,5,0,-132,5,1,-327,72,16,116
2001,5,1,-90,3,0,-188,66,8,71
2002,3,1,-25,3,0,-152,63,14,160
2003,11,6,-81,6,2,-236,79,17,43
2004,13,4,-66,3,0,-192,70,28,107
2005,7,2,-51,4,0,-177,84,20,101
2006,5,3,-82,2,2,-215,74,7,113
2007,3,0,-108,6,1,-292,65,18,96
2008,5,0,-130,5,2,-268,64,13,56
2009,3,8,-58,5,0,-168,80,18,88
2010,2,2,-40,6,0,-221,75,11,85
2011,10,1,-77,5,0,-204,53,13,93
2012,2,0,-108,3,0,-260,75,7,113
2013,6,1,-48,3,6,-221,85,9,82
2014,12,3,-111,3,8,-291,70,25,103
2015,5,2,-73,5,0,-200,71,15,126
2016,3,3,-101,6,0,-200,72,18,88
2016
2017,11,2,-121,4,0,-306,67,8,72
2018,12,0,-103,6,3,-275,59,7,88
2019,14,0,-129,5,0,-273,56,12,118
2020,7,0,-29,5,0,-184,67,6,104
2021,12,0,-53,4,2,-249,73,13,61
2022,10,1,-122,4,0,-205,64,13,128
2023,11,7,-142,4,1,-373,68,17,98
2024,18,0,-237,8,3,-507,46,14,52
2025,5,2,-111,2,1,-231,55,9,149
2026,12,0,-142,7,0,-370,61,2,84
2027,8,1,-111,5,0,-297,56,6,69
2028,10,2,-55,2,1,-240,55,13,70
2029,9,4,-114,4,3,-319,54,3,79
2030,13,0,-188,7,0,-440,53,18,66
2031,15,5,-46,5,0,-248,60,3,130
2032,19,1,-67,5,3,-251,61,18,114
2033,10,1,-48,4,1,-205,70,5,140
2034,13,0,-115,5,0,-292,55,8,63
2035,16,0,-95,6,3,-298,69,10,69
2036,8,1,-49,3,1,-192,70,13,92
2037,15,1,19,4,2,-152,67,10,87
2038,6,1,-59,3,0,-255,66,8,90
2039,13,0,-143,5,1,-275,63,7,107
2040,11,0,-64,4,2,-218,63,9,60
2041,12,0,-74,4,5,-190,74,7,85
2042,10,0,-121,4,0,-264,57,21,67
2043,14,0,-100,3,0,-189,54,14,141
2044,6,3,-118,4,0,-263,61,8,54
2045,13,3,-138,6,0,-294,54,6,113
2046,8,0,-117,3,0,-263,64,15,61

min,,,,0
max,,,,14
steps,,,,8
decimal
