year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,124,182,145,283
1988,341,186,165,123
1989,173,142,65,206
1990,186,115,65,177
1991,160,106,81,165
1992,74,185,239,313
1993,83,183,128,161
1994,232,168,224,250
1995,295,103,203,115
1996,156,99,74,195
1997,129,245,92,192
1998,142,197,146,255
1999,172,224,222,334
2000,124,196,193,418
2001,341,128,203,125
2002,221,150,278,386
2003,109,127,105,231
2004,191,153,137,151
2005,104,135,78,218
2006,173,124,188,273
2007,225,185,241,196
2008,244,171,161,192
2009,170,233,99,304
2010,222,114,57,244
2011,127,76,192,169
2012,65,287,137,342
2013,135,189,140,250
2014,224,222,292,192
2015,129,117,155,131
2016,233,270,60,100
