year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,49,-66,-113,220
1988,259,-59,-73,67
1989,96,-141,-263,119
1990,92,-154,-286,106
1991,86,-111,-210,109
1992,-19,-111,-49,229
1993,-19,-65,-158,92
1994,153,-104,-56,172
1995,196,-158,-118,41
1996,70,-169,-254,123
1997,48,-25,-202,117
1998,54,-72,-138,192
1999,89,-37,-88,261
2000,40,-52,-79,347
2001,263,-149,-89,43
2002,121,-124,4,316
2003,6,-188,-245,162
2004,100,-125,-151,86
2005,25,-138,-231,135
2006,94,-159,-143,194
2007,130,-97,-18,127
2008,155,-100,-116,124
2009,85,-38,-215,231
2010,132,-177,-261,170
2011,39,-241,-94,89
2012,-37,32,-156,274
2013,65,-54,-182,181
2014,122,-45,17,117
2015,46,-178,-155,54
2016,148,35,-259,34
