year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-rapeseed,sunflower,linseed-oild,spring-field-peas,broad-bean,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,67,64,59,87,25,25,20,41,25,706,122,90,65,167
2001,63,58,59,82,28,22,20,34,25,595,123,68,49,243
2002,76,71,68,82,36,25,21,47,30,730,131,86,61,205
2003,67,58,59,75,33,30,19,42,34,735,129,62,42,215
2004,79,75,61,87,37,25,20,42,30,750,126,80,57,187
2005,73,70,69,80,40,25,25,46,30,711,127,59,44,210
2006,70,65,62,77,28,27,25,39,33,790,139,74,52,205
2007,61,61,44,93,30,25,25,25,33,775,121,110,83,242
2008,75,77,65,82,37,31,28,50,40,840,131,85,60,224
2009,75,74,62,85,39,28,21,51,37,825,139,79,53,211
2010,72,69,57,82,34,25,20,48,35,665,122,48,36,230
2011,72,68,59,85,41,32,30,42,30,849,136,69,52,300
2012,71,75,57,77,37,20,20,43,36,762,132,86,60,235
2013,73,67,57,82,32,27,27,37,35,762,128,63,46,287
2014,71,71,59,81,36,26,21,41,40,900,135,91,64,287
2015,80,76,61,76,37,28,25,41,41,930,135,72,51,300
2016,53,54,50,71,32,24,24,30,25,700,111,69,47,250
2017,75,69,60,90,39,27,30,40,30,900,150,72,53,200
