year,A1,A2,A3
,label A1,label A2,label A3
1987,6,3033,64
1988,23,3102,149
1989,13,3316,99
1990,4,3255,35
1991,10,3001,117
1992,24,2876,156
1993,8,3230,72
1994,4,2761,61
1995,22,3327,135
1996,4,3140,54
1997,7,3178,80
1998,5,2770,52
1999,7,3003,84
2000,5,3051,44
2001,10,2981,103
2002,5,3438,37
2003,21,3159,146
2004,22,3212,162
2005,13,3372,93
2006,21,2965,134
2007,12,3455,91
2008,30,2936,201
2009,21,2967,142
2010,14,3515,92
2011,15,3069,128
2012,5,3392,49
2013,11,3300,103
2014,14,2720,106
2015,14,3409,122
2016,23,3176,167
2016
2017,71,2735,448
2018,38,2800,259
2019,28,2534,174
2020,17,2636,141
2021,18,2715,183
2022,18,2890,122
2023,29,2717,253
2024,31,2785,273
2025,42,2830,253
2026,15,3381,145
2027,15,3033,132
2028,33,2718,200
2029,34,2692,280
2030,50,2863,347
2031,24,2883,136
2032,29,2998,200
2033,23,3171,161
2034,35,2419,243
2035,51,2742,305
2036,31,2785,198
2037,32,2528,228
2038,41,2647,231
2039,16,2352,160
2040,42,2911,277
2041,33,2698,207
2042,32,2564,229
2043,19,2634,153
2044,23,2455,176
2045,30,2737,187
2046,30,2851,185

min,,2000
max,,4000
steps,,9
decimal
