year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.0,12.3,18.6,6.3
1988,3.5,14.3,17.7,6.2
1989,4.5,13.6,18.2,5.5
1990,4.8,13.2,17.5,5.8
1991,2.7,11.3,18.9,4.5
1992,3.0,14.5,19.4,5.7
1993,3.0,15.6,17.2,4.9
1994,4.5,13.1,19.6,7.8
1995,3.8,13.4,18.3,6.1
1996,1.3,14.3,16.5,5.2
1997,3.8,13.5,18.5,6.4
1998,3.6,14.0,17.3,4.7
1999,2.5,13.5,18.3,4.8
2000,3.6,14.8,17.0,7.0
2001,4.3,12.9,16.9,5.5
2002,4.4,14.0,16.8,7.1
2003,2.0,15.8,19.2,4.6
2004,2.8,13.9,18.8,6.4
2005,2.8,14.9,18.3,6.0
2006,1.2,14.6,19.8,8.5
2007,5.9,16.5,17.4,5.4
2008,4.8,15.1,17.9,5.9
2009,1.7,15.8,19.6,6.5
2010,2.1,14.0,18.2,5.3
2011,4.0,16.1,18.9,6.9
2012,3.3,15.0,18.9,6.8
2013,1.9,13.5,19.5,6.6
2014,5.7,15.3,18.2,8.5
2015,3.5,15.2,20.2,7.8
2016,4.9,14.5,20.0,5.9
