year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,72,140,0
1988,70,127,0
1989,92,139,1
1990,83,148,1
1991,80,141,1
1992,75,133,1
1993,87,142,0
1994,58,132,0
1995,80,136,1
1996,72,137,0
1997,76,134,2
1998,77,126,0
1999,79,131,0
2000,71,131,1
2001,80,135,1
2002,91,145,0
2003,59,129,1
2004,94,135,1
2005,86,144,0
2006,74,130,1
2007,87,139,0
2008,79,124,1
2009,73,130,1
2010,93,143,0
2011,83,148,1
2012,91,147,1
2013,84,145,1
2014,69,124,1
2015,66,138,0
2016,82,149,3
2016
2017,70,133,1
2018,56,140,1
2019,82,127,1
2020,57,135,0
2021,59,128,1
2022,59,139,0
2023,73,132,0
2024,38,138,1
2025,58,135,1
2026,72,160,1
2027,77,139,0
2028,62,130,1
2029,67,127,3
2030,58,141,1
2031,70,137,1
2032,61,146,1
2033,74,152,2
2034,43,115,0
2035,59,138,1
2036,65,126,1
2037,55,123,1
2038,59,130,0
2039,33,129,2
2040,77,141,0
2041,49,136,0
2042,53,128,0
2043,71,130,1
2044,53,126,1
2045,59,139,2
2046,81,140,1
