year,annual-precipitations
1987,910
1988,1129
1989,721
1990,984
1991,921
1992,1145
1993,1226
1994,1374
1995,1140
1996,955
1997,933
1998,905
1999,995
2000,1130
2001,1079
2002,977
2003,949
2004,974
2005,773
2006,963
2007,1106
2008,1132
2009,854
2010,864
2011,801
2012,1019
2013,1188
2014,1250
2015,848
2016,1166
