year,A1,A2,A3
,label A1,label A2,label A3
1987,14,3808,91
1988,23,3452,116
1989,8,3816,63
1990,18,3582,110
1991,11,3513,129
1992,7,3432,46
1993,5,3425,82
1994,0,3866,31
1995,14,3661,98
1996,6,3258,66
1997,2,3917,42
1998,7,3735,60
1999,5,3759,57
2000,8,3466,86
2001,6,3674,45
2002,8,3574,80
2003,7,3467,77
2004,18,3380,128
2005,14,3738,117
2006,10,3386,70
2007,16,3800,119
2008,6,3807,48
2009,9,4156,57
2010,4,3415,38
2011,6,3507,55
2012,6,3675,31
2013,7,3450,72
2014,9,3512,63
2015,4,3521,51
2016,11,3263,83
2016
2017,14,2954,91
2018,6,3478,52
2019,13,3380,85
2020,19,3165,121
2021,2,3234,29
2022,22,3468,125
2023,3,3151,49
2024,6,3281,84
2025,22,3336,147
2026,8,3475,87
2027,14,3158,108
2028,22,3322,165
2029,9,3116,106
2030,18,3225,155
2031,10,2733,85
2032,16,3148,108
2033,10,3446,82
2034,4,3497,51
2035,11,3511,87
2036,10,3357,78
2037,4,3059,37
2038,24,3211,165
2039,7,3669,55
2040,10,2852,85
2041,17,3293,138
2042,17,3376,122
2043,20,2991,134
2044,11,3222,86
2045,8,3118,73
2046,5,3314,39

min,,2000
max,,4000
steps,,9
decimal
