year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1095,9,-251,16
1988,1249,9,-196,8
1989,1046,8,-216,12
1990,1352,10,-95,5
1991,1323,8,-328,9
1992,1017,9,-179,10
1993,1334,10,-400,4
1994,969,8,-257,9
1995,1291,11,-237,10
1996,1275,9,-192,3
1997,1126,10,-201,3
1998,1090,9,-196,12
1999,1105,11,-383,11
2000,1306,8,-269,3
2001,957,6,-57,3
2002,1279,11,-273,2
2003,1253,10,-195,11
2004,1381,11,-207,9
2005,1314,11,-114,14
2006,1143,8,-193,6
2007,1214,9,-167,16
2008,898,7,-184,17
2009,978,10,-193,24
2010,1018,8,-235,11
2011,1232,10,-265,6
2012,779,7,-54,10
2013,1246,9,-122,2
2014,1105,8,-197,7
2015,990,9,-187,10
2016,1111,8,-244,10
2016
2017,1382,10,-200,0
2018,1080,12,-271,11
2019,1262,9,-120,4
2020,1436,12,-229,3
2021,1070,12,-331,9
2022,1270,8,-215,4
2023,1295,9,-370,1
2024,1277,12,-383,5
2025,1368,10,-241,4
2026,1195,10,-383,8
2027,1415,11,-340,9
2028,1668,12,-165,3
2029,1380,11,-421,1
2030,1537,13,-392,1
2031,1384,9,-304,5
2032,1557,11,-220,1
2033,1203,10,-216,10
2034,1152,10,-111,4
2035,1384,10,-238,2
2036,1166,11,-197,1
2037,1270,11,-200,1
2038,1629,12,-351,2
2039,1072,10,-159,13
2040,1395,9,-219,3
2041,1486,11,-322,5
2042,1415,11,-183,9
2043,1496,11,-223,6
2044,1244,10,-227,7
2045,1377,12,-291,5
2046,1189,10,-262,3
