year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,111,227,329,241
1988,118,103,270,249
1989,109,103,211,432
1990,188,104,274,275
1991,140,194,213,238
1992,110,126,237,134
1993,209,124,344,151
1994,389,244,170,271
1995,117,190,226,71
1996,58,133,150,74
1997,58,180,217,187
1998,120,253,182,114
1999,70,238,139,166
2000,129,74,190,79
2001,78,183,319,107
2002,146,123,158,173
2003,40,137,158,194
2004,110,179,211,137
2005,108,136,187,113
2006,46,122,291,132
2007,123,154,287,105
2008,136,107,235,156
2009,120,144,186,155
2010,55,245,237,133
2011,85,142,275,69
2012,94,241,212,128
2013,77,197,300,89
2014,111,169,128,87
2015,104,128,162,179
2016,76,225,262,285
