year,annual-hydric-deficit
1987,343
1988,115
1989,190
1990,168
1991,154
1992,-78
1993,228
1994,432
1995,-9
1996,-162
1997,50
1998,111
1999,-15
2000,-157
2001,105
2002,-112
2003,-139
2004,23
2005,-130
2006,-89
2007,13
2008,4
2009,-51
2010,12
2011,-115
2012,56
2013,37
2014,-199
2015,-123
2016,189
