year,annual-frozen-days
1987,124
1988,133
1989,71
1990,65
1991,99
1992,80
1993,110
1994,104
1995,117
1996,138
1997,110
1998,93
1999,95
2000,68
2001,121
2002,96
2003,119
2004,98
2005,111
2006,93
2007,74
2008,52
2009,85
2010,115
2011,82
2012,98
2013,101
2014,75
2015,70
2016,82
