year,annual-precipitations
1987,909
1988,740
1989,854
1990,842
1991,785
1992,607
1993,828
1994,1075
1995,603
1996,414
1997,642
1998,669
1999,613
2000,472
2001,688
2002,599
2003,528
2004,636
2005,544
2006,592
2007,668
2008,634
2009,605
2010,670
2011,570
2012,674
2013,663
2014,495
2015,574
2016,848
