year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,48,164,194,110
1988,113,160,223,87
1989,71,118,137,137
1990,70,142,265,144
1991,62,194,161,107
1992,84,151,198,178
1993,123,138,208,90
1994,133,205,109,193
1995,134,210,203,66
1996,71,214,163,83
1997,80,204,187,157
1998,93,217,229,123
1999,91,177,131,103
2000,108,77,182,102
2001,66,149,265,89
2002,139,103,106,158
2003,71,167,138,165
2004,116,169,234,115
2005,105,154,191,101
2006,39,129,288,146
2007,153,130,238,81
2008,145,139,222,103
2009,118,235,211,159
2010,95,255,369,150
2011,93,186,247,63
2012,95,172,222,130
2013,98,216,323,70
2014,98,174,151,84
2015,90,163,100,178
2016,140,130,279,244
