year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,590,595,-142,-232,51,7.4,3092,22,15.8,117
1988,433,550,-266,-304,30,6.8,2938,38,17.0,120
1989,547,575,-176,-230,58,6.9,3147,25,16.0,128
1990,536,584,-177,-256,55,6.5,2945,20,15.9,141
1991,587,664,-277,-294,24,7.5,3081,16,14.2,106
1992,613,530,-50,-170,95,6.9,2933,17,15.7,137
1993,563,721,-388,-406,13,6.9,2859,16,14.9,153
1994,529,707,-377,-362,24,7.7,3118,44,16.1,136
1995,571,541,-100,-242,128,6.1,2795,27,16.0,154
1996,611,694,-305,-333,36,7.0,2851,18,14.5,126
1997,690,659,-155,-195,28,6.2,2932,36,17.0,157
1998,618,545,-50,-159,105,6.3,2839,23,14.6,138
1999,595,759,-396,-371,9,6.9,3137,20,15.5,137
2000,661,637,-169,-233,41,6.5,2832,24,14.9,118
2001,462,538,-204,-285,57,6.1,2762,21,15.3,149
2002,555,591,-170,-290,75,6.5,2925,35,14.6,137
2003,565,571,-157,-223,54,7.4,2996,22,14.9,124
2004,512,524,-162,-206,41,5.5,2596,12,13.7,145
2005,622,572,-108,-214,75,7.7,3123,18,14.0,112
2006,648,544,-30,-140,84,6.2,2732,28,14.9,137
2007,587,551,-94,-169,54,7.0,2938,24,15.2,125
2008,529,586,-204,-243,17,7.1,3038,40,15.8,134
2009,510,581,-215,-259,2,7.2,2973,26,15.6,122
2010,551,546,-145,-242,71,5.9,2819,11,15.6,151
2011,548,555,-138,-246,85,6.7,2824,25,15.6,138
2012,548,625,-222,-289,46,7.4,3200,34,15.1,126
2013,650,528,-19,-183,115,6.1,2812,14,14.5,135
2014,609,595,-140,-220,81,7.9,3218,35,16.4,121
2015,566,573,-150,-216,48,6.8,2991,24,16.5,129
2016,639,595,-82,-209,86,6.9,3115,30,16.3,123
2016
2017,586,604,-162,-266,76,7.6,3170,49,18.7,138
2018,505,566,-208,-284,65,7.4,3160,24,16.0,125
2019,563,610,-194,-326,115,8.9,3500,44,16.1,109
2020,481,569,-244,-276,9,8.0,3253,30,15.9,120
2021,476,693,-412,-475,68,7.4,3095,28,14.9,132
2022,480,518,-193,-231,34,7.3,2913,26,15.1,121
2023,526,684,-390,-335,-13,7.2,2910,18,14.7,127
2024,567,601,-222,-284,69,6.3,2749,10,14.0,136
2025,459,600,-279,-370,64,8.1,3396,53,17.4,121
2026,423,747,-572,-536,-19,8.7,3430,36,17.7,101
2027,513,696,-408,-419,38,7.6,3323,39,16.3,118
2028,562,564,-156,-217,54,8.1,3345,43,15.9,105
2029,632,720,-335,-394,79,7.5,3256,25,16.1,116
2030,546,641,-310,-354,38,7.3,3059,25,15.8,131
2031,401,586,-335,-347,13,8.1,3328,33,16.2,112
2032,466,638,-326,-370,37,9.1,3672,43,18.1,104
2033,579,582,-159,-226,64,8.2,3354,32,15.4,90
2034,442,611,-341,-334,-22,7.5,3191,42,16.0,128
2035,542,573,-177,-281,61,7.7,3077,32,16.4,131
2036,662,592,-85,-176,61,7.7,3101,30,15.1,140
2037,519,530,-172,-247,71,8.5,3334,27,16.7,90
2038,535,561,-167,-268,78,7.5,3059,22,15.6,120
2039,484,520,-178,-224,47,7.0,2944,9,14.8,123
2040,660,533,-13,-116,113,7.1,2940,19,16.2,128
2041,562,560,-153,-232,66,8.0,3284,23,15.6,121
2042,438,554,-259,-331,76,7.4,2999,26,16.4,123
2043,617,574,-112,-241,103,7.8,3148,30,16.0,108
2044,488,560,-222,-258,22,7.6,3296,26,15.5,106
2045,572,551,-129,-214,78,7.5,3079,22,14.7,116
2046,579,523,-83,-142,20,7.0,2992,26,14.9,117
