year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,104,150,0
1988,97,155,0
1989,84,146,1
1990,107,153,0
1991,107,147,0
1992,107,152,0
1993,111,153,0
1994,94,145,0
1995,105,151,0
1996,111,156,0
1997,117,160,0
1998,100,150,0
1999,85,132,0
2000,96,159,0
2001,118,158,1
2002,117,158,0
2003,101,150,1
2004,104,160,0
2005,77,141,0
2006,97,152,0
2007,94,146,0
2008,99,154,0
2009,96,147,0
2010,111,157,1
2011,100,152,0
2012,101,143,0
2013,110,153,0
2014,82,136,0
2015,83,149,1
2016,103,148,0
2016
2017,96,151,0
2018,101,148,0
2019,104,142,1
2020,100,153,0
2021,106,149,2
2022,100,155,0
2023,9,155,0
2024,97,154,0
2025,106,154,0
2026,86,137,1
2027,102,144,0
2028,88,146,0
2029,80,143,0
2030,46,151,0
2031,81,139,0
2032,87,131,0
2033,92,147,0
2034,106,150,1
2035,104,154,1
2036,113,154,1
2037,85,156,0
2038,102,152,0
2039,111,157,0
2040,103,158,0
2041,101,143,0
2042,99,150,0
2043,93,149,0
2044,90,141,0
2045,36,140,0
2046,104,159,0

min,,90,0
max,,190,6
steps,,11,7
decimal
