year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,10,-86,-53,60
1988,68,-108,-29,41
1989,9,-154,-127,94
1990,-6,-137,31,97
1991,12,-64,-110,61
1992,28,-124,-105,138
1993,68,-148,-25,44
1994,86,-60,-185,148
1995,82,-43,-55,26
1996,32,-45,-78,40
1997,24,-45,-73,117
1998,41,-42,1,81
1999,40,-82,-150,59
2000,56,-231,-48,41
2001,13,-110,9,43
2002,68,-199,-211,118
2003,21,-120,-158,124
2004,67,-94,-32,67
2005,58,-118,-92,51
2006,3,-164,-3,97
2007,85,-176,-24,35
2008,85,-140,-40,58
2009,79,-42,-64,120
2010,48,-7,89,106
2011,42,-104,-16,17
2012,40,-100,-46,92
2013,49,-59,60,25
2014,32,-86,-133,30
2015,24,-109,-213,122
2016,83,-168,29,199
