year,A1,A2,A3
,label A1,label A2,label A3
1987,10,3671,75
1988,21,3829,141
1989,8,3841,77
1990,7,3948,72
1991,2,3420,40
1992,5,3767,45
1993,1,3764,37
1994,10,3566,112
1995,16,4012,89
1996,2,3588,49
1997,16,4187,129
1998,12,3971,107
1999,4,3785,54
2000,6,3751,86
2001,4,3994,49
2002,18,3949,132
2003,11,3559,74
2004,3,4087,28
2005,6,3403,49
2006,3,3889,66
2007,12,3678,86
2008,18,3774,144
2009,9,3666,70
2010,1,4098,27
2011,6,3792,67
2012,12,3634,89
2013,3,3904,34
2014,20,3480,131
2015,16,3866,112
2016,14,3877,110
2016
2017,33,3821,227
2018,14,3610,104
2019,25,3176,162
2020,19,3382,132
2021,11,3569,98
2022,16,3532,85
2023,3,3614,51
2024,3,3711,32
2025,37,3605,226
2026,12,3254,117
2027,14,3563,116
2028,31,3492,196
2029,3,3578,68
2030,5,3608,66
2031,16,3393,96
2032,25,3203,184
2033,16,3347,124
2034,22,3650,145
2035,11,3562,101
2036,20,3543,111
2037,11,3230,104
2038,14,3566,73
2039,2,3649,24
2040,9,3660,81
2041,7,3388,79
2042,12,3539,82
2043,6,3472,73
2044,10,3496,99
2045,5,3488,57
2046,15,3638,101

min,,2000
max,,4000
steps,,9
decimal
