year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,183,101,55,164
1988,102,35,30,73
1989,25,90,115,139
1990,29,52,18,226
1991,83,48,31,88
1992,38,94,31,116
1993,105,46,39,204
1994,104,11,16,56
1995,46,20,157,36
1996,184,84,111,154
1997,60,17,128,317
1998,145,21,23,188
1999,97,58,110,71
2000,73,126,19,268
2001,143,92,49,54
2002,88,194,211,195
2003,229,145,212,288
2004,177,170,111,328
2005,171,55,208,411
2006,107,79,148,11
2007,214,154,102,220
2008,137,103,36,444
2009,316,291,97,251
2010,336,174,157,229
2011,316,118,85,99
2012,219,101,33,228
2013,223,89,53,371
2014,55,94,32,97
2015,375,101,60,173
2016,187,201,193,110
